Tissue,Position,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
body,X_11757710,GO:0002181,cytoplasmic translation,13/19,114/7021,6.778390733780106e-20,1.464132398496503e-17,1.2843266653478097e-17,FBgn0024733/FBgn0029785/FBgn0038834/FBgn0032987/FBgn0013325/FBgn0004403/FBgn0016726/FBgn0017545/FBgn0028697/FBgn0040007/FBgn0261599/FBgn0030616/FBgn0003941,13
body,X_11757710,GO:0006412,translation,13/19,389/7021,7.643960417272055e-13,8.255477250653819e-11,7.241646711099841e-11,FBgn0024733/FBgn0029785/FBgn0038834/FBgn0032987/FBgn0013325/FBgn0004403/FBgn0016726/FBgn0017545/FBgn0028697/FBgn0040007/FBgn0261599/FBgn0030616/FBgn0003941,13
body,X_11757710,GO:0043043,peptide biosynthetic process,13/19,427/7021,2.5329077479769508e-12,1.8236935785434046e-10,1.5997312092486005e-10,FBgn0024733/FBgn0029785/FBgn0038834/FBgn0032987/FBgn0013325/FBgn0004403/FBgn0016726/FBgn0017545/FBgn0028697/FBgn0040007/FBgn0261599/FBgn0030616/FBgn0003941,13
body,X_11757710,GO:0043604,amide biosynthetic process,13/19,464/7021,7.34014036334583e-12,3.839395272617274e-10,3.3678905900151523e-10,FBgn0024733/FBgn0029785/FBgn0038834/FBgn0032987/FBgn0013325/FBgn0004403/FBgn0016726/FBgn0017545/FBgn0028697/FBgn0040007/FBgn0261599/FBgn0030616/FBgn0003941,13
body,X_11757710,GO:0006518,peptide metabolic process,13/19,471/7021,8.88748905698443e-12,3.839395272617274e-10,3.3678905900151523e-10,FBgn0024733/FBgn0029785/FBgn0038834/FBgn0032987/FBgn0013325/FBgn0004403/FBgn0016726/FBgn0017545/FBgn0028697/FBgn0040007/FBgn0261599/FBgn0030616/FBgn0003941,13
body,X2R_1104408,GO:0032543,mitochondrial translation,13/163,101/7021,4.904071154803753e-7,4.5179720189499257e-4,4.458087264648675e-4,FBgn0036990/FBgn0037330/FBgn0038234/FBgn0039765/FBgn0034361/FBgn0026741/FBgn0029718/FBgn0031651/FBgn0026261/FBgn0035335/FBgn0036557/FBgn0036135/FBgn0031639,13
body,X2R_1104408,GO:0140053,mitochondrial gene expression,14/163,121/7021,6.653861589027873e-7,4.5179720189499257e-4,4.458087264648675e-4,FBgn0036990/FBgn0037330/FBgn0051643/FBgn0038234/FBgn0039765/FBgn0034361/FBgn0026741/FBgn0029718/FBgn0031651/FBgn0026261/FBgn0035335/FBgn0036557/FBgn0036135/FBgn0031639,14
body,X2R_1104408,GO:0006412,translation,25/163,389/7021,2.8282329921549504e-6,0.0012802468011154742,0.0012632774031625445,FBgn0029785/FBgn0036990/FBgn0037330/FBgn0001942/FBgn0000146/FBgn0038234/FBgn0039765/FBgn0034361/FBgn0016726/FBgn0034029/FBgn0026741/FBgn0017545/FBgn0029718/FBgn0031651/FBgn0064225/FBgn0026261/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0036557/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0035753/FBgn0031639,25
body,X2R_1104408,GO:0043043,peptide biosynthetic process,25/163,427/7021,1.466548720030316e-5,0.004978932904502922,0.004912938212101558,FBgn0029785/FBgn0036990/FBgn0037330/FBgn0001942/FBgn0000146/FBgn0038234/FBgn0039765/FBgn0034361/FBgn0016726/FBgn0034029/FBgn0026741/FBgn0017545/FBgn0029718/FBgn0031651/FBgn0064225/FBgn0026261/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0036557/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0035753/FBgn0031639,25
body,X2R_1104408,GO:0043604,amide biosynthetic process,26/163,464/7021,2.102068511988599e-5,0.0057092180785610356,0.005633543612129446,FBgn0029785/FBgn0036990/FBgn0037330/FBgn0001942/FBgn0000146/FBgn0037958/FBgn0038234/FBgn0039765/FBgn0034361/FBgn0016726/FBgn0034029/FBgn0026741/FBgn0017545/FBgn0029718/FBgn0031651/FBgn0064225/FBgn0026261/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0036557/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0035753/FBgn0031639,26
body,X2R_1104408,GO:0006518,peptide metabolic process,26/163,471/7021,2.728322124293323e-5,0.006175102407983888,0.0060932527442550885,FBgn0029785/FBgn0036990/FBgn0037330/FBgn0001942/FBgn0000146/FBgn0038234/FBgn0039640/FBgn0039765/FBgn0034361/FBgn0016726/FBgn0034029/FBgn0026741/FBgn0017545/FBgn0029718/FBgn0031651/FBgn0064225/FBgn0026261/FBgn0284245/FBgn0026372/FBgn0035335/FBgn0036557/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0035753/FBgn0031639,26
body,X3R_3573060,GO:0006412,translation,49/414,389/7021,2.33940614151406e-7,2.8372878797533024e-4,2.75723657612385e-4,FBgn0029785/FBgn0031231/FBgn0036990/FBgn0037135/FBgn0037330/FBgn0001942/FBgn0032261/FBgn0000146/FBgn0004872/FBgn0001995/FBgn0037566/FBgn0037883/FBgn0038234/FBgn0026250/FBgn0039163/FBgn0051133/FBgn0039765/FBgn0004403/FBgn0016726/FBgn0010409/FBgn0034029/FBgn0026741/FBgn0033485/FBgn0033184/FBgn0029718/FBgn0031651/FBgn0015834/FBgn0029891/FBgn0033712/FBgn0064225/FBgn0250816/FBgn0261067/FBgn0026261/FBgn0034858/FBgn0023170/FBgn0034923/FBgn0040666/FBgn0264001/FBgn0284245/FBgn0026372/FBgn0030789/FBgn0036569/FBgn0036557/FBgn0004926/FBgn0036135/FBgn0010408/FBgn0035753/FBgn0031639/FBgn0031357,49
body,X3R_3573060,GO:0032543,mitochondrial translation,21/414,101/7021,2.9447720599411545e-7,2.8372878797533024e-4,2.75723657612385e-4,FBgn0031231/FBgn0036990/FBgn0037330/FBgn0032261/FBgn0001995/FBgn0037566/FBgn0038234/FBgn0051133/FBgn0039765/FBgn0026741/FBgn0033184/FBgn0029718/FBgn0031651/FBgn0033712/FBgn0026261/FBgn0040666/FBgn0036569/FBgn0036557/FBgn0036135/FBgn0031639/FBgn0031357,21
body,X3R_3573060,GO:0140053,mitochondrial gene expression,23/414,121/7021,4.4235352271973904e-7,2.841384127603124e-4,2.761217252345319e-4,FBgn0029858/FBgn0031231/FBgn0036990/FBgn0037330/FBgn0032261/FBgn0001995/FBgn0037566/FBgn0038234/FBgn0038961/FBgn0051133/FBgn0039765/FBgn0026741/FBgn0033184/FBgn0029718/FBgn0031651/FBgn0033712/FBgn0026261/FBgn0040666/FBgn0036569/FBgn0036557/FBgn0036135/FBgn0031639/FBgn0031357,23
