X3L_20369028	X3L_19017077	X3L_24126485	X_8440973	X_8582093	X2R_23607378	X3L_16099580	X2L_1673857	X3L_15024603	X_8230251	X2L_18669237	X2L_19019437	X2L_18954752	X2R_23666730	X2L_2228644	X3R_2124553	X2L_16963756	X2L_17942789	X2L_19249707	X2L_2607407	X2R_8637076	X_8376593
FBgn0016696	FBgn0036975	FBgn0016696	FBgn0052447	FBgn0029681	FBgn0004419	FBgn0003980	FBgn0025839	FBgn0002938	FBgn0029687	FBgn0002579	FBgn0002579	FBgn0029765	FBgn0031769	FBgn0029737	FBgn0037424	FBgn0029828	FBgn0031700	FBgn0029531	FBgn0031980	FBgn0040382	FBgn0037427
FBgn0026179	FBgn0052425	FBgn0026179	FBgn0046875	FBgn0037099	FBgn0003087	FBgn0003979	FBgn0037001	FBgn0032048	FBgn0051451	FBgn0003517	FBgn0003517	FBgn0029828	FBgn0004419	FBgn0029765	FBgn0003448	FBgn0032285	FBgn0032010	FBgn0037099	FBgn0003942	FBgn0002525	FBgn0020503
FBgn0037146	FBgn0037239	FBgn0037146	FBgn0037323	FBgn0027527	FBgn0032242	FBgn0032507	FBgn0032393	FBgn0000120	FBgn0003093	FBgn0002593	FBgn0002593	FBgn0014031	FBgn0003087	FBgn0037955	FBgn0000636	FBgn0040985	FBgn0015393	FBgn0037410	FBgn0038834	FBgn0027932	FBgn0037637
FBgn0025702	FBgn0015575	FBgn0025702	FBgn0000299	FBgn0037416	FBgn0001086	FBgn0003983	FBgn0032833	FBgn0032797	FBgn0029896	FBgn0000100	FBgn0037328	FBgn0052425	FBgn0011703	FBgn0027575	FBgn0051337	FBgn0000454	FBgn0037873	FBgn0027527	FBgn0038938	FBgn0028704	FBgn0037664
FBgn0037166	FBgn0000477	FBgn0037166	FBgn0028516	FBgn0037419	FBgn0040984	FBgn0037537	FBgn0013981	FBgn0051321	FBgn0052718	FBgn0020618	FBgn0003942	FBgn0037057	FBgn0032698	FBgn0001197	FBgn0038391	FBgn0038742	FBgn0022349	FBgn0037414	FBgn0039300	FBgn0041180	FBgn0037645
FBgn0037163	FBgn0027579	FBgn0037163	FBgn0038511	FBgn0037427	FBgn0000166	FBgn0024833	FBgn0038271	FBgn0020907	FBgn0025800	FBgn0020415	FBgn0032518	FBgn0010225	FBgn0038252	FBgn0003525	FBgn0002735	FBgn0027579	FBgn0034497	FBgn0040279	FBgn0039359	FBgn0014127	FBgn0038071
FBgn0037186	FBgn0029990	FBgn0037186	FBgn0051004	FBgn0037428	FBgn0001296	FBgn0039682	FBgn0016120	FBgn0038665	FBgn0030001	FBgn0027070	FBgn0020415	FBgn0020415	FBgn0039128	FBgn0004045	FBgn0051004	FBgn0039674	FBgn0027108	FBgn0037424	FBgn0030136	FBgn0011638	FBgn0000015
FBgn0046875	FBgn0034638	FBgn0046875	FBgn0039851	FBgn0040551	FBgn0038766	FBgn0003357	FBgn0017566	FBgn0002940	FBgn0053181	FBgn0032820	FBgn0020414	FBgn0040985	FBgn0005649	FBgn0033934	FBgn0051002	FBgn0025583	FBgn0028327	FBgn0037428	FBgn0086710	FBgn0013269	FBgn0038511
FBgn0037372	FBgn0034198	FBgn0037372	FBgn0040922	FBgn0039852	FBgn0013983	FBgn0039778	FBgn0040931	FBgn0003249	FBgn0033872	FBgn0019936	FBgn0027070	FBgn0010300	FBgn0040923	FBgn0017558	FBgn0030196	FBgn0034331	FBgn0039909	FBgn0026077	FBgn0250838	FBgn0004652	FBgn0038676
FBgn0037370	FBgn0034200	FBgn0037370	FBgn0025800	FBgn0034301	FBgn0034576	FBgn0004240	FBgn0034645	FBgn0038946	FBgn0014184	FBgn0039359	FBgn0032820	FBgn0037874	FBgn0033845	FBgn0039537	FBgn0003053	FBgn0040653	FBgn0039929	FBgn0031910	FBgn0261606	FBgn0022349	FBgn0038989
FBgn0051547	FBgn0001208	FBgn0051547	FBgn0053181	FBgn0040922	FBgn0023395	FBgn0034295	FBgn0040010	FBgn0011581	FBgn0002921	FBgn0003279	FBgn0019936	FBgn0051326	FBgn0050052	FBgn0026238	FBgn0002632	FBgn0025454	FBgn0031089	FBgn0032087	FBgn0034968	FBgn0004362	FBgn0039704
FBgn0015570	FBgn0004047	FBgn0015570	FBgn0030054	FBgn0030148	FBgn0086356	FBgn0034645	FBgn0250814	FBgn0003861	FBgn0040227	FBgn0002626	FBgn0039359	FBgn0029176	FBgn0022772	FBgn0000042	FBgn0083978	FBgn0033366	FBgn0041789	FBgn0015393	FBgn0027590	FBgn0033890	FBgn0039795
FBgn0260008	FBgn0260653	FBgn0260008	FBgn0033501	FBgn0034661	FBgn0259791	FBgn0041579	FBgn0250838	FBgn0034494	FBgn0010263	FBgn0039857	FBgn0003279	FBgn0033065	FBgn0023395	FBgn0014869	FBgn0086450	FBgn0029093	FBgn0086357	FBgn0051813	FBgn0283521	FBgn0027585	FBgn0039851
FBgn0260027	FBgn0260753	FBgn0260027	FBgn0031097	FBgn0033887	FBgn0000405	FBgn0033774	FBgn0262124	FBgn0034475	FBgn0004102	FBgn0029897	FBgn0002626	FBgn0052687	FBgn0010382	FBgn0086443	FBgn0003888	FBgn0032864	FBgn0262734	FBgn0032615	FBgn0011361	FBgn0039929	FBgn0039852
FBgn0263911	FBgn0262838	FBgn0262477	FBgn0031995	FBgn0033787	FBgn0034858	FBgn0010357	FBgn0034877	FBgn0052726	FBgn0259822	FBgn0004403	FBgn0010411	FBgn0010409	FBgn0085452	FBgn0027590	FBgn0264562	FBgn0020385	FBgn0040688	FBgn0000636	FBgn0035422	FBgn0038282	FBgn0029898
FBgn0264712	FBgn0035090	FBgn0262614	FBgn0085317	FBgn0003174	FBgn0046253	FBgn0010425	FBgn0263911	FBgn0004784	FBgn0261955	FBgn0010409	FBgn0013325	FBgn0033543	FBgn0260780	FBgn0267385	FBgn0283508	FBgn0001208	FBgn0035170	FBgn0032685	FBgn0010412	FBgn0035253	FBgn0025800
